file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af,note
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,15,150,160,74,18.055555555555554,134.6027397260274,55.0,156.0,460.5062543968141,384.61538461538464,1090.909090909091,119.55504253487318,17.24234107431422,16.72406781989491,16.84133821661591,7.0,9.722222222222223,4.0,5.555555555555555,0.0,0.0,,,,,11.908624457225265,21.459017606118838,0.5549473268445259,1.8019728208910901,3.611591418580828,802.8257775968116,False,
134400-132561-2-LKB1H2B-1in10-1E13-4w-s_Export.xls,16,160,170,74,20.833333333333336,135.06849315068493,54.0,142.0,458.7366533729163,422.53521126760563,1111.111111111111,120.38340255999216,16.80056940761507,17.06482737484717,17.184530793465072,6.0,8.333333333333332,4.0,5.555555555555555,0.0,0.0,,,,,12.151298255568195,20.595874417853533,0.5899870046320947,1.694952587343143,3.602522898557768,786.2357524800925,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,0,0,10,96,51.06382978723404,104.72631578947369,55.0,123.0,612.637522869407,487.8048780487805,1090.909090909091,186.47735771881548,22.94926972613826,26.027808369331414,26.16728997708608,40.0,42.5531914893617,9.0,9.574468085106384,0.0,0.0,,,,,18.503068188072344,26.795709849645217,0.6905235312628724,1.4481765714357886,3.8994289984597814,1557.610580180073,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,1,10,20,112,74.54545454545455,88.93693693693693,54.0,162.0,744.0924904913693,370.3703703703704,1111.111111111111,227.49717316949224,27.86991838043934,32.747380186679194,32.89725329560706,49.0,44.54545454545455,22.0,20.0,0.0,0.0,,,,,23.26187088773525,31.853056724364325,0.7302869262761303,1.3693248010055268,4.073915738555123,2327.7998110119715,False,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,2,20,30,131,86.04651162790698,76.43846153846154,56.0,124.0,838.6650459076644,483.8709677419355,1071.4285714285713,192.74643253742562,21.818846787448877,22.82219781656216,22.91117358408338,43.0,33.33333333333333,7.0,5.426356589147287,0.0,0.0,,,,,16.200646206247452,26.32198164156262,0.6154797319920056,1.6247488715241543,3.8339709024320494,1339.67913197668,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,3,30,40,148,94.52054794520548,67.59863945578232,58.0,125.0,914.1497699319088,480.0,1034.4827586206898,133.6255280020509,13.75702055586881,15.883134848094054,15.937756824090554,22.0,15.068493150684931,4.0,2.73972602739726,0.0,0.0,,,,,11.269695927216603,15.918100498382897,0.7079799457455039,1.412469387034683,3.457923423241463,563.5770679521719,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,4,40,50,154,98.68421052631578,64.9673202614379,51.0,102.0,937.7158424141376,588.2352941176471,1176.4705882352941,101.02370506403246,9.303662479632186,12.398535567175921,12.439522573407094,17.0,11.18421052631579,0.0,0.0,0.0,0.0,,,,,8.79607076637929,9.843366358909222,0.8936039202094691,1.1190640253296904,3.1415523467096667,272.0083504486887,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,5,50,60,151,97.98657718120806,66.07333333333334,58.0,163.0,930.5213683421434,368.09815950920245,1034.4827586206898,112.50289811520705,13.98901614506664,17.58717500999563,17.64642815495448,14.0,9.395973154362416,4.0,2.684563758389262,0.0,0.0,,,,,12.47790901208953,15.4269590836926,0.8088378885557279,1.2363416874370385,3.488542124783616,604.7446219386284,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,6,60,70,151,97.31543624161074,66.19333333333333,50.0,161.0,931.4757336891862,372.67080745341616,1200.0,114.71079274504234,15.359100516634738,20.16425836563898,20.232256089431736,15.0,10.06711409395973,6.0,4.026845637583892,0.0,0.0,,,,,14.30636547954,16.437469804319953,0.8703508295285279,1.1489619657646601,3.5754842663043043,738.7783439554356,True,
134401-132561-3-LKB1H2B-1in10-1E13-4w-s_Export.txt,7,70,80,149,90.47619047619048,67.4054054054054,50.0,163.0,923.7491704885637,368.09815950920245,1200.0,154.45636439161842,15.964602782762844,23.284691768376476,23.364281830504083,51.0,34.69387755102041,4.0,2.7210884353741496,0.0,0.0,,,,,16.52104211990308,15.499231180261829,1.0659265564696216,0.9381509391341444,3.612467577155765,804.4470570020904,True,
